mgmt_code,mgmt_name,short_name,former_name
3L7,우리프라이빗에퀴티자산운용,우리프라이빗에퀴티,
4C7,원자산운용,원,
4H3,웰브릿지자산운용,웰브릿지운용,
3E6,웰스자산운용,웰스,
3V4,위너스자산운용,위너스,
389,위플러스자산운용,위플러스,"첼시, 한주"
305,유경피에스지자산운용,유경PSG,
3T4,유나이티드파트너스자산운용,유나이티드,
4H8,유니스토리자산운용,유니스토리,
307,유리자산운용,유리,
214,유진자산운용,유진,서울자산운용
3T2,이든자산운용,이든,
229,이스트스프링자산운용,이스트스프링,
4J6,이아이피자산운용,이아이피,
4G7,이지스네오밸류자산운용,네오밸류파트너,
3Z1,이지스리얼에셋투자운용,이지스리얼에셋,
383,이지스자산운용,이지스,피에스
4A8,이케이자산운용,이케이,나섬자산운용
4E1,이현자산운용,이현,
382,이화자산운용,이화,노무라이화자산운용
3F9,인마크자산운용,인마크,
3L3,인벡스자산운용,인벡스,
4K6,인사이트자산운용,인사이트,
3T8,인트러스투자운용,인트러스,
3V8,자비스자산운용,자비스,
4B5,자산운용현,현,
4J1,제이더블유자산운용,제이더블유,
241,제이비자산운용,제이비,더커
3H7,제이씨에셋자산운용,제이씨에셋,
3S5,제이알투자운용,제이알,
3H6,제이앤제이자산운용,제이앤제이,
4C3,제이에이치자산운용,제이에이치,JH자산운용
4B6,제이엠씨자산운용,제이엠씨,
385,제이피에셋자산운용,제이피,
4A2,조인에셋글로벌자산운용,조인에셋글로벌,
4F3,지니자산운용,지니,
4G4,지베스코자산운용,지베스코,
3Q7,지브이에이자산운용,지브이에이,
3Z4,지안자산운용,지안,
3R9,지알이파트너스자산운용,지알이파트너스,
386,지지자산운용,지지,
3U7,지큐자산운용,지큐,
4D9,차파트너스자산운용,차파트너스,
4K1,카이로스자산운용,카이로스,
233,칸서스자산운용,칸서스,
3Y2,칼론인베스트먼트자산운용,칼론,
376,캐피탈랜드투자운용,캐피탈랜드,아쎈다스자산운용
384,캡스톤자산운용,캡스톤,
4I8,케이글로벌자산운용,케이글로벌,
451,케이디비인프라자산운용,KDB인프라,
3Z9,케이리츠투자운용,케이리츠,
223,케이비자산운용,KB,
3R7,케이에스자산운용,케이에스,아레스자산운용
3Z2,케이와이자산운용,케이와이,
4D2,케이지티자산운용,케이지티,광개토자산운용
3K8,케이클라비스자산운용,케이클라비스,
306,케이티비자산운용,다올,케이티비자산운용
4C8,케이핀자산운용,케이핀,
3X2,케펠자산운용,케펠,
4G1,케플러자산운용,케플러,
3P4,켄달스퀘어자산운용,켄달스퀘어,
3T3,코너스톤자산운용,코너스톤,
381,코람코자산운용,코람코,
310,코레이트자산운용,코레이트,마이애셋
